Metropolitan Statistical Area
"New York-Newark-Jersey City, NY-NJ-PA"
"New Orleans-Metairie, LA"
"Albany, GA"
"Boston-Cambridge-Newton, MA-NH"
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD"
"Detroit-Warren-Dearborn, MI"
"Washington-Arlington-Alexandria, DC-VA-MD-WV"
"Seattle-Tacoma-Bellevue, WA"
"Miami-Fort Lauderdale-West Palm Beach, FL"
"Nashville-Davidson--Murfreesboro--Franklin, TN"
"Denver-Aurora-Lakewood, CO"
"Colorado Springs, CO"
"Oklahoma City, OK"
"Tulsa, OK"
"Salt Lake City, UT"
"Chicago-Naperville-Elgin, IL-IN-WI"
"Indianapolis-Carmel-Anderson, IN"
"Atlanta-Sandy Springs-Roswell, GA"
"Boise City, ID"
"Hailey, ID"
"Twin Falls, ID"
"Little Rock-North Little Rock-Conway, AR"
"Pine Bluff, AR"
"Fayetteville-Springdale-Rogers, AR-MO"
"Memphis, TN-MS-AR"
"Jackson, MS"
