id,ident,type,name,Latitude,Longitude,elevation_ft,continent,iso_country,State,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,Latitude,Longitude,Accuracy Score,Accuracy Type,Number,Street,Unit Type,Unit Number,City,State,County,Zip,Country,Source,Census Year,State FIPS,County FIPS,Place Name,Place FIPS,Census Tract Code,Census Block Code,Census Block Group,Full FIPS,Metro/Micro Statistical Area Name,Metro/Micro Statistical Area Code,Metro/Micro Statistical Area Type,Combined Statistical Area Name,Combined Statistical Area Code,Metropolitan Division Area Name,Metropolitan Division Area Code,,,,
12243,5A8,medium_airport,Aleknagik / New Airport,59.2826004,-158.6179962,66,NA,US,US-AK,Aleknagik,yes,5A8,WKK,5A8,,https://en.wikipedia.org/wiki/Aleknagik_Airport,,,59.2826,-158.617996,0.76,nearest_place,,,,,Aleknagik,AK,Dillingham Census Area,99555,US,TIGER/Line® dataset from the US Census Bureau,2019,2,2070,Aleknagik,201420,100,2165,2,2.07E+13,,,,,,,,,,1,
5336,PAAQ,medium_airport,"Warren ""Bud"" Woods Palmer Municipal Airport",61.594898,-149.08901,242,NA,US,US-AK,Palmer,no,PAAQ,PAQ,PAQ,,https://en.wikipedia.org/wiki/Palmer_Municipal_Airport,"Palmer Muni, Palmer Buddy Woods Municipal",,61.599424,-149.095243,0.94,nearest_street,795,E Evergreen Ave,,,Palmer,AK,Matanuska-Susitna Borough,99645,US,TIGER/Line® dataset from the US Census Bureau,2019,2,2170,Palmer,258660,1201,2000,2,2.17E+13,"Anchorage, AK",11260,metropolitan,,,,,,,,
5337,PABA,medium_airport,Barter Island LRRS Airport,70.13400269,-143.5820007,2,NA,US,US-AK,Barter Island Lrrs,no,PABA,BTI,BTI,,https://en.wikipedia.org/wiki/Barter_Island_LRRS_Airport,,,70.134003,-143.582001,0.5,nearest_place,,,,,Kaktovik,AK,North Slope Borough,99747,US,TIGER/Line® dataset from the US Census Bureau,2019,2,2185,,,200,3018,3,2.185E+13,,,,,,,,,,1,
5338,PABE,medium_airport,Bethel Airport,60.77980042,-161.8379974,126,NA,US,US-AK,Bethel,yes,PABE,BET,BET,,https://en.wikipedia.org/wiki/Bethel_Airport,,,60.7798,-161.837997,1,nearest_place,,,,,Bethel Airport,AK,Bethel Census Area,99559,US,TIGER/Line® dataset from the US Census Bureau,2019,2,2050,Bethel,206520,200,1002,1,2.05E+13,,,,,,,,,,1,
5339,PABI,medium_airport,Allen Army Airfield,63.99449921,-145.7220001,1291,NA,US,US-AK,Delta Junction Ft Greely,no,PABI,BIG,BIG,,https://en.wikipedia.org/wiki/Allen_Army_Airfield00000000000000,Big Delta Army Airfield,,63.994499,-145.722,0.17,nearest_place,,,,,Delta Junction,AK,Southeast Fairbanks Census Area,99737,US,TIGER/Line® dataset from the US Census Bureau,2019,2,2240,Fort Greely,226100,400,4029,4,2.24E+13,,,,,,,,,,1,
5340,PABL,medium_airport,Buckland Airport,65.9815979,-161.1490021,31,NA,US,US-AK,Buckland,no,PABL,BKC,BVK,,https://en.wikipedia.org/wiki/Buckland_Airport,,,65.981598,-161.149002,1,nearest_place,,,,,Buckland,AK,Northwest Arctic Borough,99727,US,TIGER/Line® dataset from the US Census Bureau,2019,2,2188,Buckland,209600,100,5021,5,2.188E+13,,,,,,,,,,1,
5342,PABR,medium_airport,Wiley Post Will Rogers Memorial Airport,71.285402,-156.766008,44,NA,US,US-AK,Utqiaġvik,yes,PABR,BRW,BRW,,https://en.wikipedia.org/wiki/Wiley_Post-Will_Rogers_Memorial_Airport,Barrow,,71.289088,-156.766836,0.95,nearest_street,1674,Okpik St,,,Barrow,AK,North Slope Borough,99723,US,TIGER/Line® dataset from the US Census Bureau,2019,2,2185,Utqiagvik,281920,100,2025,2,2.185E+13,,,,,,,,,,1,
5343,PABT,medium_airport,Bettles Airport,66.91390228,-151.529007,647,NA,US,US-AK,Bettles,no,PABT,BTT,BTT,,https://en.wikipedia.org/wiki/Bettles_Airport,,,66.913902,-151.529007,1,nearest_place,,,,,Bettles Field,AK,Yukon-Koyukuk Census Area,99726,US,TIGER/Line® dataset from the US Census Bureau,2019,2,2290,Bettles,206630,200,1192,1,2.29E+13,,,,,,,,,,1,
5344,PABV,medium_airport,Birchwood Airport,61.41650009,-149.5070038,83,NA,US,US-AK,Birchwood,no,PABV,,BCV,,,,,61.416029,-149.506482,0.98,nearest_street,21056,SE Apron Rd,,,Chugiak,AK,Anchorage Municipality,99567,US,TIGER/Line® dataset from the US Census Bureau,2019,2,2020,Anchorage,203000,102,1008,1,2.02E+13,"Anchorage, AK",11260,metropolitan,,,,,,,,
5345,PACD,medium_airport,Cold Bay Airport,55.20610046,-162.7250061,96,NA,US,US-AK,Cold Bay,no,PACD,CDB,CDB,,https://en.wikipedia.org/wiki/Cold_Bay_Airport,,,55.206709,-162.72131,0.96,nearest_street,4,Truesdell Dr,,,Cold Bay,AK,Aleutians East Borough,99571,US,TIGER/Line® dataset from the US Census Bureau,2019,2,2013,Cold Bay,216530,100,1250,1,2.013E+13,,,,,,,,,,1,
