id,ident,type,name,Latitude,Longitude,elevation_ft,continent,iso_country,State,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords
6524,00AK,small_airport,Lowell Field,59.94919968,-151.6959991,450,NA,US,US-AK,Anchor Point,no,00AK,,00AK,,,,
6576,01A,small_airport,Purkeypile Airport,62.9435997,-152.2700043,1950,NA,US,US-AK,Purkeypile,no,01A,,01A,,,,
6577,01AK,heliport,Providence Seward Medical Center Heliport,60.10587398,-149.446249,120,NA,US,US-AK,Seward,no,01AK,,01AK,,,,
6637,02AK,small_airport,Rustic Wilderness Airport,61.87689972,-150.0980072,190,NA,US,US-AK,Willow,no,02AK,,02AK,,,,
325508,03AA,heliport,Trapper T Heliport,61.556055,-149.284527,159,NA,US,US-AK,Palmer,no,03AA,,03AA,,,,
6696,03AK,seaplane_base,Joe Clouds Seaplane Base,60.72722244,-151.132782,150,NA,US,US-AK,Kenai,no,03AK,,03AK,,,,
325443,04AA,small_airport,Phil's Airport,60.535833,-150.811387,250,NA,US,US-AK,Soldotna,no,04AA,,04AA,,,,
6807,05AK,small_airport,Wasilla Creek Airpark,61.66830063,-149.1880035,620,NA,US,US-AK,Palmer,yes,05AK,,05AK,,,,
45272,06AK,small_airport,June Lake Airpark,61.627619,-149.575331,425,NA,US,US-AK,Wasilla,no,06AK,,06AK,,,,
318194,07AA,small_airport,Pan Lake Strip Airport,61.6959639,-149.9549028,357,NA,US,US-AK,Willow,no,07AA,,07AA,,,,
45248,08AK,small_airport,Fisher Airport,61.569639,-149.724439,200,NA,US,US-AK,Big Lake,no,08AK,,08AK,,,,
329058,09AA,heliport,Sheldon Chalet Heliport,62.969888,-150.75375,5742,NA,US,US-AK,Talkeetna,no,09AA,,09AA,,,,
45270,09AK,small_airport,West Beaver Airport,61.589361,-149.847333,228,NA,US,US-AK,Big Lake,no,09AK,,09AK,,,,
322435,0AA6,heliport,Big Salmon Heliport,59.403055,-136.013611,292,NA,US,US-AK,Haines,no,0AA6,,0AA6,,,,
325323,0AA7,small_airport,Kalifonsky Meadows Airport,60.491537,-151.2352525,65,NA,US,US-AK,Kenai,no,0AA7,,0AA7,,,,
7063,0AK,small_airport,Pilot Station Airport,61.934601,-162.899994,305,NA,US,US-AK,Pilot Station,yes,,PQS,0AK,,https://en.wikipedia.org/wiki/Pilot_Station_Airport,,
7064,0AK0,small_airport,Scotts Airport,64.39250183,-146.8619995,800,NA,US,US-AK,North Pole,no,0AK0,,0AK0,,,,
7065,0AK1,small_airport,Anderson Lake Airport,61.6169014,-149.3220062,463,NA,US,US-AK,Wasilla,no,0AK1,,0AK1,,,,
45273,0AK2,small_airport,Yentna Bend Strip,61.725556,-150.678611,81,NA,US,US-AK,Willow,no,0AK2,,0AK2,,,,
7066,0AK3,small_airport,Parker Lake Airport,62.03590012,-150.4940033,250,NA,US,US-AK,Montana Creek,no,0AK3,,0AK3,,,,
7067,0AK5,small_airport,Young Creek Airport,61.355352,-142.731832,1580,NA,US,US-AK,May Creek,no,0AK5,,0AK5,,,,
7068,0AK6,small_airport,Victory Airport,61.80339813,-147.9440002,1800,NA,US,US-AK,Victory Bible Camp,no,0AK6,,0AK6,,,,
7069,0AK7,small_airport,Bradley Lake Hydroelectri Project Airstrip,59.77610016,-150.9589996,18,NA,US,US-AK,Homer,no,0AK7,,0AK7,,,,
7070,0AK8,closed,Pollux Heliport,64.895835,-147.497501,515,NA,US,US-AK,North Pole,no,,,,,,0AK8,
7071,0AK9,small_airport,Falcon Lake Strip,61.33259964,-150.0590057,110,NA,US,US-AK,Point Mackenzie,no,0AK9,,0AK9,,,,
7647,0Z2,small_airport,Road Commission Nr 1 Airport,63.10820007,-147.5319977,2525,NA,US,US-AK,Denali,no,0Z2,,0Z2,,,,
7648,0Z3,seaplane_base,Shannons Pond Seaplane Base,59.058998,-158.577191,80,NA,US,US-AK,Dillingham,no,AA15,,AA15,,,0Z3,
7649,10AK,small_airport,Hunt Strip,61.59189987,-149.6779938,200,NA,US,US-AK,Wasilla,no,10AK,,10AK,,,,
7698,11AK,small_airport,Rocking T. Ranch Airport,63.99959946,-145.5019989,1190,NA,US,US-AK,Delta Junction,no,11AK,,11AK,,,,
7807,13AK,small_airport,Satterbergs Airport,61.65470123,-149.8999939,350,NA,US,US-AK,Houston,no,13AK,,13AK,,,,
7852,13S,seaplane_base,Lake Louise Seaplane Base,62.28290176,-146.5189972,2362,NA,US,US-AK,Lake Louise,no,13S,,13S,,,,
7866,13Z,seaplane_base,Loring Seaplane Base,55.60129929,-131.6369934,0,NA,US,US-AK,Loring,no,13Z,WLR,13Z,,,,
7867,14AK,small_airport,Four Corners Airport,61.60150146,-149.2480011,300,NA,US,US-AK,Palmer,no,14AK,,14AK,,,,
7926,15AK,small_airport,Golden North Airfield,63.37070084,-148.8500061,2250,NA,US,US-AK,Cantwell,no,15AK,,15AK,,,,
7977,16A,small_airport,Nunapitchuk Airport,60.905591,-162.440454,12,NA,US,US-AK,Nunapitchuk,yes,PPIT,NUP,16A,,https://en.wikipedia.org/wiki/Nunapitchuk_Airport,,
7978,16AK,small_airport,Gattis Strip,61.5992012,-149.3470001,320,NA,US,US-AK,Wasilla,no,16AK,,16AK,,,,
