CBSA Title,County/County Equivalent,State Name
"Abilene, TX",Callahan County,Texas
"Abilene, TX",Jones County,Texas
"Abilene, TX",Taylor County,Texas
"Aguadilla-Isabela, PR",Aguada Municipio,Puerto Rico
"Aguadilla-Isabela, PR",Aguadilla Municipio,Puerto Rico
"Aguadilla-Isabela, PR",Añasco Municipio,Puerto Rico
"Aguadilla-Isabela, PR",Isabela Municipio,Puerto Rico
"Aguadilla-Isabela, PR",Lares Municipio,Puerto Rico
"Aguadilla-Isabela, PR",Moca Municipio,Puerto Rico
"Aguadilla-Isabela, PR",Rincón Municipio,Puerto Rico
"Aguadilla-Isabela, PR",San Sebastián Municipio,Puerto Rico
"Aguadilla-Isabela, PR",Utuado Municipio,Puerto Rico
"Akron, OH",Portage County,Ohio
"Akron, OH",Summit County,Ohio
"Albany, GA",Dougherty County,Georgia
"Albany, GA",Lee County,Georgia
"Albany, GA",Terrell County,Georgia
"Albany, GA",Worth County,Georgia
"Albany-Lebanon, OR",Linn County,Oregon
"Albany-Schenectady-Troy, NY",Albany County,New York
"Albany-Schenectady-Troy, NY",Rensselaer County,New York
"Albany-Schenectady-Troy, NY",Saratoga County,New York
"Albany-Schenectady-Troy, NY",Schenectady County,New York
"Albany-Schenectady-Troy, NY",Schoharie County,New York
"Albuquerque, NM",Bernalillo County,New Mexico
"Albuquerque, NM",Sandoval County,New Mexico
"Albuquerque, NM",Torrance County,New Mexico
"Albuquerque, NM",Valencia County,New Mexico
"Alexandria, LA",Grant Parish,Louisiana
"Alexandria, LA",Rapides Parish,Louisiana
"Allentown-Bethlehem-Easton, PA-NJ",Warren County,New Jersey
"Allentown-Bethlehem-Easton, PA-NJ",Carbon County,Pennsylvania
"Allentown-Bethlehem-Easton, PA-NJ",Lehigh County,Pennsylvania
"Allentown-Bethlehem-Easton, PA-NJ",Northampton County,Pennsylvania
"Altoona, PA",Blair County,Pennsylvania
"Amarillo, TX",Armstrong County,Texas
"Amarillo, TX",Carson County,Texas
"Amarillo, TX",Oldham County,Texas
"Amarillo, TX",Potter County,Texas
"Amarillo, TX",Randall County,Texas
"Ames, IA",Boone County,Iowa
"Ames, IA",Story County,Iowa
"Anchorage, AK",Anchorage Municipality,Alaska
"Anchorage, AK",Matanuska-Susitna Borough,Alaska
"Ann Arbor, MI",Washtenaw County,Michigan
"Anniston-Oxford, AL",Calhoun County,Alabama
"Appleton, WI",Calumet County,Wisconsin
"Appleton, WI",Outagamie County,Wisconsin
"Arecibo, PR",Arecibo Municipio,Puerto Rico
"Arecibo, PR",Camuy Municipio,Puerto Rico
"Arecibo, PR",Hatillo Municipio,Puerto Rico
"Arecibo, PR",Quebradillas Municipio,Puerto Rico
"Asheville, NC",Buncombe County,North Carolina
"Asheville, NC",Haywood County,North Carolina
"Asheville, NC",Henderson County,North Carolina
"Asheville, NC",Madison County,North Carolina
"Athens-Clarke County, GA",Clarke County,Georgia
"Athens-Clarke County, GA",Madison County,Georgia
"Athens-Clarke County, GA",Oconee County,Georgia
"Athens-Clarke County, GA",Oglethorpe County,Georgia
"Atlanta-Sandy Springs-Alpharetta, GA",Barrow County,Georgia
"Atlanta-Sandy Springs-Alpharetta, GA",Bartow County,Georgia
