Name,Postal Code,"Poverty Percent, All Ages"
Autauga County,AL,13.8
Baldwin County,AL,9.8
Barbour County,AL,30.9
Bibb County,AL,21.8
Blount County,AL,13.2
Bullock County,AL,42.5
Butler County,AL,24.5
Calhoun County,AL,19.5
Chambers County,AL,18.7
Cherokee County,AL,16.3
Chilton County,AL,17.3
Choctaw County,AL,22.1
Clarke County,AL,22.8
Clay County,AL,17.6
Cleburne County,AL,16.0
Coffee County,AL,13.8
Colbert County,AL,13.8
Conecuh County,AL,24.4
Coosa County,AL,18.9
Covington County,AL,19.9
Crenshaw County,AL,19.5
Cullman County,AL,14.5
Dale County,AL,16.2
Dallas County,AL,31.4
DeKalb County,AL,21.3
Elmore County,AL,11.2
Escambia County,AL,23.6
Etowah County,AL,17.5
Fayette County,AL,23.5
Franklin County,AL,19.2
Geneva County,AL,21.3
Greene County,AL,30.1
Hale County,AL,25.6
Henry County,AL,17.9
Houston County,AL,16.5
Jackson County,AL,19.7
Jefferson County,AL,16.1
Lamar County,AL,17.4
Lauderdale County,AL,14.0
Lawrence County,AL,19.3
Lee County,AL,19.0
Limestone County,AL,11.4
Lowndes County,AL,25.1
Macon County,AL,30.2
Madison County,AL,11.9
Marengo County,AL,24.0
Marion County,AL,20.2
Marshall County,AL,18.3
Mobile County,AL,20.8
Monroe County,AL,21.9
Montgomery County,AL,20.1
Morgan County,AL,13.2
Perry County,AL,35.3
Pickens County,AL,23.1
Pike County,AL,23.6
Randolph County,AL,19.7
Russell County,AL,21.7
St. Clair County,AL,12.0
Shelby County,AL,8.0
Sumter County,AL,34.7
Talladega County,AL,19.3
Tallapoosa County,AL,19.7
Tuscaloosa County,AL,16.8
Walker County,AL,17.9
Washington County,AL,17.6
Wilcox County,AL,33.4
Winston County,AL,18.6
Aleutians East Borough,AK,15.5
Aleutians West Census Area,AK,10.0
Anchorage Borough,AK,9.5
Bethel Census Area,AK,32.7
Bristol Bay Borough,AK,11.2
Denali Borough,AK,6.9
Dillingham Census Area,AK,22.0
Fairbanks North Star Borough,AK,8.6
Haines Borough,AK,10.5
Hoonah-Angoon Census Area,AK,17.2
Juneau Borough,AK,7.3
Kenai Peninsula Borough,AK,12.4
Ketchikan Gateway Borough,AK,9.1
Kodiak Island Borough,AK,8.2
Kusilvak Census Area,AK,35.1
Lake and Peninsula Borough,AK,18.2
Matanuska-Susitna Borough,AK,10.4
Nome Census Area,AK,22.0
North Slope Borough,AK,11.1
Northwest Arctic Borough,AK,21.1
Petersburg Borough,AK,7.2
Prince of Wales-Hyder Census Area,AK,16.5
Sitka Borough,AK,7.7
Skagway Municipality,AK,4.3
Southeast Fairbanks Census Area,AK,13.4
Valdez-Cordova Census Area,AK,9.7
Wrangell City and Borough,AK,11.6
Yakutat Borough,AK,13.1
Yukon-Koyukuk Census Area,AK,23.7
Apache County,AZ,37.3
Cochise County,AZ,15.1
Coconino County,AZ,15.9
Gila County,AZ,20.4
Graham County,AZ,20.2
Greenlee County,AZ,10.5
La Paz County,AZ,23.7
Maricopa County,AZ,12.3
Mohave County,AZ,16.8
Navajo County,AZ,28.5
Pima County,AZ,16.2
Pinal County,AZ,12.9
Santa Cruz County,AZ,24.4
Yavapai County,AZ,13.2
Yuma County,AZ,19.5
Arkansas County,AR,17.9
Ashley County,AR,19.6
Baxter County,AR,15.1
Benton County,AR,8.6
Boone County,AR,14.8
Bradley County,AR,21.7
Calhoun County,AR,15.7
Carroll County,AR,16.1
Chicot County,AR,31.4
Clark County,AR,19.9
Clay County,AR,20.7
Cleburne County,AR,14.6
Cleveland County,AR,15.5
Columbia County,AR,22.4
Conway County,AR,17.9
Craighead County,AR,17.9
Crawford County,AR,16.0
Crittenden County,AR,19.2
Cross County,AR,18.0
Dallas County,AR,21.3
Desha County,AR,24.3
Drew County,AR,19.5
Faulkner County,AR,15.4
Franklin County,AR,18.3
Fulton County,AR,20.6
Garland County,AR,20.4
Grant County,AR,13.1
Greene County,AR,16.5
Hempstead County,AR,20.6
Hot Spring County,AR,18.7
Howard County,AR,17.3
Independence County,AR,14.5
Izard County,AR,18.7
Jackson County,AR,25.6
Jefferson County,AR,22.2
Johnson County,AR,22.2
Lafayette County,AR,22.8
Lawrence County,AR,17.7
Lee County,AR,43.0
Lincoln County,AR,27.5
Little River County,AR,16.0
Logan County,AR,18.6
Lonoke County,AR,11.9
Madison County,AR,18.4
Marion County,AR,18.7
Miller County,AR,21.9
Mississippi County,AR,25.7
Monroe County,AR,26.0
Montgomery County,AR,18.8
Nevada County,AR,21.3
Newton County,AR,17.4
Ouachita County,AR,23.3
Perry County,AR,14.7
Phillips County,AR,35.4
Pike County,AR,17.8
Poinsett County,AR,23.7
Polk County,AR,20.0
Pope County,AR,16.0
Prairie County,AR,15.8
Pulaski County,AR,16.7
Randolph County,AR,17.4
St. Francis County,AR,35.6
Saline County,AR,9.7
Scott County,AR,20.2
Searcy County,AR,24.3
Sebastian County,AR,15.6
Sevier County,AR,20.1
Sharp County,AR,20.7
Stone County,AR,20.3
Union County,AR,18.2
Van Buren County,AR,16.4
Washington County,AR,15.2
White County,AR,16.6
Woodruff County,AR,23.7
Yell County,AR,16.3
Alameda County,CA,9.0
Alpine County,CA,17.3
Amador County,CA,11.8
Butte County,CA,18.5
Calaveras County,CA,12.1
Colusa County,CA,11.0
Contra Costa County,CA,7.8
Del Norte County,CA,20.4
El Dorado County,CA,8.1
Fresno County,CA,21.3
Glenn County,CA,15.4
Humboldt County,CA,20.3
Imperial County,CA,21.4
Inyo County,CA,12.3
Kern County,CA,20.5
Kings County,CA,18.8
Lake County,CA,18.4
Lassen County,CA,15.8
Los Angeles County,CA,14.2
Madera County,CA,20.2
Marin County,CA,6.6
Mariposa County,CA,14.9
Mendocino County,CA,17.5
Merced County,CA,21.2
Modoc County,CA,19.1
Mono County,CA,9.3
Monterey County,CA,13.3
Napa County,CA,8.8
Nevada County,CA,10.3
Orange County,CA,10.5
Placer County,CA,7.1
Plumas County,CA,12.5
Riverside County,CA,12.7
Sacramento County,CA,14.3
San Benito County,CA,8.6
San Bernardino County,CA,14.9
San Diego County,CA,11.5
San Francisco County,CA,10.1
San Joaquin County,CA,14.3
San Luis Obispo County,CA,12.7
San Mateo County,CA,6.8
Santa Barbara County,CA,12.6
Santa Clara County,CA,7.3
Santa Cruz County,CA,12.2
Shasta County,CA,15.2
Sierra County,CA,13.3
Siskiyou County,CA,17.1
Solano County,CA,7.9
Sonoma County,CA,9.9
Stanislaus County,CA,15.6
Sutter County,CA,13.5
Tehama County,CA,17.0
Trinity County,CA,21.6
Tulare County,CA,22.2
Tuolumne County,CA,12.5
Ventura County,CA,9.1
Yolo County,CA,20.1
Yuba County,CA,17.2
Adams County,CO,9.2
Alamosa County,CO,19.1
Arapahoe County,CO,8.1
Archuleta County,CO,11.2
Baca County,CO,19.4
Bent County,CO,33.9
Boulder County,CO,9.7
Broomfield County,CO,4.9
Chaffee County,CO,10.9
Cheyenne County,CO,12.6
Clear Creek County,CO,7.2
Conejos County,CO,21.4
Costilla County,CO,25.2
Crowley County,CO,44.3
Custer County,CO,12.0
Delta County,CO,14.6
Denver County,CO,11.7
Dolores County,CO,12.8
Douglas County,CO,2.6
Eagle County,CO,6.7
Elbert County,CO,5.0
El Paso County,CO,9.9
Fremont County,CO,16.5
Garfield County,CO,8.4
Gilpin County,CO,6.7
Grand County,CO,7.9
Gunnison County,CO,10.4
Hinsdale County,CO,8.6
Huerfano County,CO,21.7
Jackson County,CO,13.4
Jefferson County,CO,7.0
Kiowa County,CO,13.8
Kit Carson County,CO,12.6
Lake County,CO,12.6
La Plata County,CO,9.2
Larimer County,CO,10.5
Las Animas County,CO,19.2
Lincoln County,CO,16.2
Logan County,CO,14.5
Mesa County,CO,14.4
Mineral County,CO,9.3
Moffat County,CO,12.3
Montezuma County,CO,16.3
Montrose County,CO,11.6
Morgan County,CO,12.2
Otero County,CO,20.8
Ouray County,CO,7.5
Park County,CO,8.1
Phillips County,CO,10.8
Pitkin County,CO,6.8
Prowers County,CO,21.6
Pueblo County,CO,17.2
Rio Blanco County,CO,10.8
Rio Grande County,CO,14.5
Routt County,CO,7.0
Saguache County,CO,24.6
San Juan County,CO,14.4
San Miguel County,CO,8.6
Sedgwick County,CO,14.9
Summit County,CO,6.7
Teller County,CO,7.4
Washington County,CO,13.7
Weld County,CO,10.5
Yuma County,CO,12.1
Fairfield County,CT,10.0
Hartford County,CT,11.2
Litchfield County,CT,6.9
Middlesex County,CT,6.7
New Haven County,CT,11.6
New London County,CT,9.8
Tolland County,CT,8.0
Windham County,CT,11.7
Kent County,DE,13.8
New Castle County,DE,11.6
Sussex County,DE,12.3
District of Columbia,DC,16.1
Alachua County,FL,19.8
Baker County,FL,15.4
Bay County,FL,13.4
Bradford County,FL,19.5
Brevard County,FL,11.0
Broward County,FL,12.6
Calhoun County,FL,21.3
Charlotte County,FL,11.1
Citrus County,FL,15.2
Clay County,FL,8.8
Collier County,FL,10.6
Columbia County,FL,17.3
DeSoto County,FL,26.1
Dixie County,FL,24.7
Duval County,FL,14.5
Escambia County,FL,14.7
Flagler County,FL,10.3
Franklin County,FL,22.8
Gadsden County,FL,23.6
Gilchrist County,FL,16.8
Glades County,FL,20.1
Gulf County,FL,20.3
Hamilton County,FL,27.6
Hardee County,FL,27.0
Hendry County,FL,24.0
Hernando County,FL,14.1
Highlands County,FL,20.8
Hillsborough County,FL,14.7
Holmes County,FL,23.9
Indian River County,FL,10.7
Jackson County,FL,23.5
Jefferson County,FL,17.9
Lafayette County,FL,21.0
Lake County,FL,11.5
Lee County,FL,12.1
Leon County,FL,20.7
Levy County,FL,16.1
Liberty County,FL,23.8
Madison County,FL,22.8
Manatee County,FL,10.4
Marion County,FL,15.1
Martin County,FL,10.7
Miami-Dade County,FL,16.0
Monroe County,FL,12.0
Nassau County,FL,10.4
Okaloosa County,FL,12.7
Okeechobee County,FL,21.5
Orange County,FL,15.6
Osceola County,FL,13.4
Palm Beach County,FL,12.2
Pasco County,FL,12.6
Pinellas County,FL,11.7
Polk County,FL,15.7
Putnam County,FL,18.8
St. Johns County,FL,6.6
St. Lucie County,FL,12.1
Santa Rosa County,FL,9.5
Sarasota County,FL,10.3
Seminole County,FL,9.9
Sumter County,FL,9.3
